iter	SMAPE	RMSE
366	31.98361245	5064.035914
367	31.96677142	5055.029714
368	31.95707279	5048.721634
369	31.95231091	5047.777112
370	31.91859989	5044.398968
371	31.96590799	5037.156394
372	32.0310296	5036.673073
373	31.93058425	5032.206036
374	31.93384708	5031.283356
375	31.94281552	5030.244093
376	31.95139824	5028.71982
377	31.96820088	5020.384459
378	31.97314286	5018.866854
379	31.95607407	5014.372058
380	31.80244657	5010.578092
381	31.79191632	5008.570691
382	31.76613257	5005.159249
383	31.74439626	5004.160869
384	31.74353425	5002.392899
385	31.70909641	4999.782616
386	31.69991776	4999.191282
387	31.7030715	4997.265043
388	31.68601614	4993.777658
389	31.66710659	4992.417762
390	31.67753116	4985.052781
391	31.64820133	4980.597737
392	31.608091	4978.032396
393	31.5951862	4976.534895
394	31.59402243	4974.291933
395	31.58010144	4971.116436
396	31.57072095	4968.605422
397	31.56753137	4966.726617
398	31.45527823	4959.471316
399	31.45071846	4946.498502
400	31.45296131	4933.103449
401	31.50960006	4932.119761
402	31.4987234	4929.801103
403	31.49142547	4928.848145
404	31.41525995	4915.62671
405	31.39613154	4914.960505
406	31.32093193	4906.980021
407	31.32970066	4904.472865
408	31.29337209	4902.64525
409	31.28253285	4901.573528
410	31.2812057	4901.051622
411	31.24917578	4896.927696
412	31.24707445	4896.079116
413	31.23628347	4893.852315
414	31.21425563	4883.999718
415	31.21419125	4883.6822
416	31.14056886	4869.333173
417	31.11407127	4867.444646
418	31.10661314	4865.4784
419	31.16055903	4864.545422
420	31.15399123	4862.653194
421	31.10157073	4858.621774
422	31.0402225	4850.221965
423	30.99015503	4845.924669
424	30.9892698	4845.825069
425	31.00567552	4839.922346
426	30.97054593	4832.762958
427	30.96368241	4830.001971
428	30.96260021	4829.68894
429	30.95454805	4828.031482
430	30.95831763	4827.669479
431	30.83250242	4820.531099
432	30.83305312	4819.146978
433	30.82268814	4816.899279
434	30.82391111	4815.624495
435	30.84365842	4811.186544
436	30.84136198	4807.982798
437	30.84805274	4804.84747
438	30.84755935	4803.516993
439	30.8874799	4799.357965
440	30.86392865	4798.230888
441	30.83733426	4795.712456
442	30.84680656	4792.678991
443	30.84147986	4791.476213
444	30.83536543	4791.259374
445	30.84657187	4787.751549
446	30.68164167	4779.028293
447	30.58731735	4767.268279
448	30.58467158	4766.474113
449	30.47897403	4762.974685
450	30.46727468	4761.743612
451	30.4468834	4757.012094
452	30.44597988	4755.04781
453	30.50848127	4752.909669
454	30.49961487	4752.145694
455	30.45615903	4747.801873
456	30.4926955	4747.052565
457	30.50017921	4743.734538
458	30.50023998	4742.763916
459	30.52746586	4737.359114
